"","hospital","year","epiweek","total_tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll"
"82","Hospital de Coatepeque",2025,53,7,1,0,0,4,14.2857142857143,16.1290322580645,14.2857142857143,16.1290322580645,0,0,0,0,57.1428571428571,29.0322580645161
"83","Hospital de Coatepeque",2026,1,16,2,0,0,2,12.5,9.375,12.5,9.375,0,0,0,0,12.5,28.125
"84","Hospital de Coatepeque",2026,2,9,0,0,0,3,0,10.2564102564103,0,10.2564102564103,0,0,0,0,33.3333333333333,23.0769230769231
"85","Hospital de Coatepeque",2026,3,14,2,0,0,4,14.2857142857143,12.1212121212121,14.2857142857143,12.1212121212121,0,0,0,0,28.5714285714286,27.2727272727273
"86","Hospital de Coatepeque",2026,4,10,2,0,0,2,20,16.6666666666667,20,16.6666666666667,0,0,0,0,20,19.4444444444444
"87","Hospital de Coatepeque",2026,5,12,2,0,0,1,16.6666666666667,27.027027027027,16.6666666666667,27.027027027027,0,0,0,0,8.33333333333333,8.10810810810811
"88","Hospital de Coatepeque",2026,6,15,6,0,0,0,40,42.5531914893617,40,40.4255319148936,0,2.12765957446809,0,0,0,2.12765957446809
"89","Hospital de Coatepeque",2026,7,20,11,1,0,0,60,42,55,40,5,2,0,0,0,0
"90","Hospital de Coatepeque",2026,8,15,3,0,0,0,20,38.7755102040816,20,36.734693877551,0,2.04081632653061,0,0,0,4.08163265306122
"91","Hospital de Coatepeque",2026,9,14,4,0,0,2,28.5714285714286,38.6363636363636,28.5714285714286,38.6363636363636,0,0,0,0,14.2857142857143,4.54545454545455
"92","Hospital de Coatepeque",2026,10,15,10,0,0,0,66.6666666666667,47.9166666666667,66.6666666666667,47.9166666666667,0,0,0,0,0,4.16666666666667
"93","Hospital de Coatepeque",2026,11,19,9,0,0,0,47.3684210526316,52.8301886792453,47.3684210526316,52.8301886792453,0,0,0,0,0,0
"94","Hospital de Coatepeque",2026,12,19,9,0,0,0,47.3684210526316,40.8163265306122,47.3684210526316,40.8163265306122,0,0,0,0,0,0
"95","Hospital de Coatepeque",2026,14,11,2,0,0,0,18.1818181818182,38.0952380952381,18.1818181818182,38.0952380952381,0,0,0,0,0,0
"96","Hospital de Coatepeque",2026,15,12,5,0,0,0,41.6666666666667,30.2325581395349,41.6666666666667,30.2325581395349,0,0,0,0,0,0
"97","Hospital de Coatepeque",2026,16,20,6,0,0,0,30,25.5813953488372,30,25.5813953488372,0,0,0,0,0,0
"98","Hospital de Coatepeque",2026,17,11,0,0,0,0,0,17.0212765957447,0,17.0212765957447,0,0,0,0,0,0
"99","Hospital de Coatepeque",2026,18,16,2,0,0,0,12.5,6.45161290322581,12.5,6.45161290322581,0,0,0,0,0,6.45161290322581
"100","Hospital de Coatepeque",2026,53,4,0,0,0,2,0,NA,0,NA,0,NA,0,NA,50,NA
"101","Overall",2025,10,4,1,0,0,0,25,NA,25,NA,0,NA,0,NA,0,NA
"102","Overall",2025,11,7,3,0,0,0,42.8571428571429,41.1764705882353,42.8571428571429,41.1764705882353,0,0,0,0,0,0
"103","Overall",2025,12,6,3,0,0,0,50,31.8181818181818,50,31.8181818181818,0,0,0,0,0,0
"104","Overall",2025,13,9,1,0,0,0,11.1111111111111,29.6296296296296,11.1111111111111,29.6296296296296,0,0,0,3.7037037037037,0,0
"105","Overall",2025,14,12,4,0,1,0,33.3333333333333,30.5555555555556,33.3333333333333,30.5555555555556,0,0,8.33333333333333,2.77777777777778,0,0
"106","Overall",2025,15,15,6,0,0,0,40,37.5,40,37.5,0,0,0,3.125,0,0
"107","Overall",2025,16,5,2,0,0,0,40,39.2857142857143,40,39.2857142857143,0,0,0,7.14285714285714,0,0
"108","Overall",2025,17,8,3,0,2,0,37.5,34.4827586206897,37.5,34.4827586206897,0,0,25,10.3448275862069,0,0
"109","Overall",2025,18,16,5,0,1,0,31.25,41.4634146341463,31.25,41.4634146341463,0,0,6.25,7.31707317073171,0,0
"110","Overall",2025,19,17,9,0,0,0,52.9411764705882,40.3846153846154,52.9411764705882,40.3846153846154,0,0,0,1.92307692307692,0,0
"111","Overall",2025,20,19,7,0,0,0,36.8421052631579,31.25,36.8421052631579,31.25,0,0,0,0,0,0
"112","Overall",2025,21,28,4,0,0,0,14.2857142857143,20.8333333333333,14.2857142857143,20.8333333333333,0,0,0,1.38888888888889,0,0
"113","Overall",2025,22,25,4,0,1,0,16,14.4578313253012,16,14.4578313253012,0,0,4,1.20481927710843,0,0
"114","Overall",2025,23,30,4,0,0,0,13.3333333333333,16.4556962025316,13.3333333333333,16.4556962025316,0,0,0,2.53164556962025,0,0
"115","Overall",2025,24,24,5,0,1,0,20.8333333333333,18.1818181818182,20.8333333333333,18.1818181818182,0,0,4.16666666666667,1.2987012987013,0,0
"116","Overall",2025,25,23,5,0,0,0,21.7391304347826,20,21.7391304347826,20,0,0,0,1.53846153846154,0,0
"117","Overall",2025,26,18,3,0,0,0,16.6666666666667,17.2413793103448,16.6666666666667,17.2413793103448,0,0,0,0,0,0
"118","Overall",2025,27,17,2,0,0,0,11.7647058823529,13.1578947368421,11.7647058823529,13.1578947368421,0,0,0,0,0,0
"119","Overall",2025,28,3,0,0,0,0,0,8.33333333333333,0,5.55555555555556,0,2.77777777777778,0,0,0,2.77777777777778
"120","Overall",2025,29,16,0,1,0,1,6.25,2.77777777777778,0,0,6.25,2.77777777777778,0,0,6.25,5.55555555555556
"121","Overall",2025,30,17,0,0,0,1,0,2.08333333333333,0,0,0,2.08333333333333,0,0,5.88235294117647,4.16666666666667
"122","Overall",2025,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17391304347826
"123","Overall",2025,32,14,0,0,0,0,0,2.63157894736842,0,2.63157894736842,0,0,0,0,0,0
"124","Overall",2025,33,9,1,0,0,0,11.1111111111111,12.1212121212121,11.1111111111111,12.1212121212121,0,0,0,0,0,0
"125","Overall",2025,34,10,3,0,0,0,30,6.77966101694915,30,6.77966101694915,0,0,0,3.38983050847458,0,3.38983050847458
"126","Overall",2025,35,40,0,0,2,2,0,5.3763440860215,0,5.3763440860215,0,0,5,3.2258064516129,5,6.45161290322581
