"","week_start","surveilled","fiebre","tos","dolor_oido","congestion_nasal","escurrimiento_nasal","dolor_garganta","vomito_despues","silbido_respiro","dificultad_respirar","dolor_muscular","dolor_cabeza","dolor_articular","sarpullido","ojos_rojos","articulares_hinchados","dolor_ojos","diarrea","fatiga","perdida_peso","convulsiones","labios_azules","perdida_gusto","dolor_cuerpo","dolor_hueso","irritabilidad","letargo","dificultad_comer","fiebre_inc","tos_inc","dolor_oido_inc","congestion_nasal_inc","escurrimiento_nasal_inc","dolor_garganta_inc","vomito_despues_inc","silbido_respiro_inc","dificultad_respirar_inc","dolor_muscular_inc","dolor_cabeza_inc","dolor_articular_inc","sarpullido_inc","ojos_rojos_inc","articulares_hinchados_inc","dolor_ojos_inc","diarrea_inc","fatiga_inc","perdida_peso_inc","convulsiones_inc","labios_azules_inc","perdida_gusto_inc","dolor_cuerpo_inc","dolor_hueso_inc","irritabilidad_inc","letargo_inc","dificultad_comer_inc","fiebre_inc_roll","tos_inc_roll","dolor_oido_inc_roll","congestion_nasal_inc_roll","escurrimiento_nasal_inc_roll","dolor_garganta_inc_roll","vomito_despues_inc_roll","silbido_respiro_inc_roll","dificultad_respirar_inc_roll","dolor_muscular_inc_roll","dolor_cabeza_inc_roll","dolor_articular_inc_roll","sarpullido_inc_roll","ojos_rojos_inc_roll","articulares_hinchados_inc_roll","dolor_ojos_inc_roll","diarrea_inc_roll","fatiga_inc_roll","perdida_peso_inc_roll","convulsiones_inc_roll","labios_azules_inc_roll","perdida_gusto_inc_roll","dolor_cuerpo_inc_roll","dolor_hueso_inc_roll","irritabilidad_inc_roll","letargo_inc_roll","dificultad_comer_inc_roll"
"11",2026-03-29,350,1,10,0,13,13,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2.85714285714286,28.5714285714286,0,37.1428571428571,37.1428571428571,5.71428571428571,0,0,0,0,2.85714285714286,0,0,0,0,0,5.71428571428571,0,0,0,0,0,0,0,2.85714285714286,0,0,15.7407407407407,52.7777777777778,5.55555555555556,64.8148148148148,64.8148148148148,23.1481481481481,1.85185185185185,0.925925925925926,6.48148148148148,5.55555555555556,6.48148148148148,1.85185185185185,0.925925925925926,0,0,0,12.037037037037,0.925925925925926,2.77777777777778,0,0,2.77777777777778,1.85185185185185,0.925925925925926,3.7037037037037,0,1.85185185185185
"12",2026-04-05,388,8,20,5,28,28,14,2,1,4,3,4,0,0,0,0,0,6,1,2,0,0,2,2,0,0,0,2,20.6185567010309,51.5463917525773,12.8865979381443,72.1649484536082,72.1649484536082,36.0824742268041,5.15463917525773,2.57731958762887,10.3092783505155,7.7319587628866,10.3092783505155,0,0,0,0,0,15.4639175257732,2.57731958762887,5.15463917525773,0,0,5.15463917525773,5.15463917525773,0,0,0,5.15463917525773,13.8648180242634,35.528596187175,4.33275563258232,55.4592720970537,55.4592720970537,19.9306759098787,2.59965337954939,0.866551126516464,5.19930675909879,4.33275563258232,8.66551126516464,0.866551126516464,1.73310225303293,0,0,0,10.3986135181976,0.866551126516464,1.73310225303293,0,0,1.73310225303293,3.46620450606586,0.866551126516464,1.73310225303293,0,1.73310225303293
"13",2026-04-12,416,7,11,0,23,23,7,1,0,2,2,5,1,2,0,0,0,4,0,0,0,0,0,2,1,1,0,0,16.8269230769231,26.4423076923077,0,55.2884615384615,55.2884615384615,16.8269230769231,2.40384615384615,0,4.80769230769231,4.80769230769231,12.0192307692308,2.40384615384615,4.80769230769231,0,0,0,9.61538461538461,0,0,0,0,0,4.80769230769231,2.40384615384615,2.40384615384615,0,0,20.4248366013072,41.6666666666667,6.5359477124183,58.0065359477124,58.0065359477124,28.5947712418301,4.90196078431373,0.816993464052288,6.5359477124183,5.71895424836601,12.2549019607843,1.63398692810458,2.45098039215686,0.816993464052288,0.816993464052288,0,13.0718954248366,1.63398692810458,1.63398692810458,0,0,3.26797385620915,5.71895424836601,1.63398692810458,4.08496732026144,0,2.45098039215686
"14",2026-04-19,420,10,20,3,20,20,14,3,0,2,2,6,1,1,1,1,0,6,1,0,0,0,2,3,1,4,0,1,23.8095238095238,47.6190476190476,7.14285714285714,47.6190476190476,47.6190476190476,33.3333333333333,7.14285714285714,0,4.76190476190476,4.76190476190476,14.2857142857143,2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,0,14.2857142857143,2.38095238095238,0,0,0,4.76190476190476,7.14285714285714,2.38095238095238,9.52380952380952,0,2.38095238095238,20.5533596837945,41.897233201581,3.95256916996047,49.0118577075099,49.0118577075099,21.3438735177866,3.95256916996047,0.790513833992095,5.53359683794466,7.90513833992095,12.6482213438735,3.16205533596838,4.74308300395257,1.58102766798419,0.790513833992095,0.790513833992095,14.2292490118577,1.58102766798419,1.58102766798419,0.790513833992095,0,3.95256916996047,7.90513833992095,3.16205533596838,7.11462450592885,0,3.16205533596838
"15",2026-04-26,429,9,22,2,19,19,6,1,1,3,6,5,2,3,1,0,1,8,1,2,1,0,3,5,2,4,0,3,20.979020979021,51.2820512820513,4.66200466200466,44.2890442890443,44.2890442890443,13.986013986014,2.33100233100233,2.33100233100233,6.99300699300699,13.986013986014,11.6550116550117,4.66200466200466,6.99300699300699,2.33100233100233,0,2.33100233100233,18.6480186480186,2.33100233100233,4.66200466200466,2.33100233100233,0,6.99300699300699,11.6550116550117,4.66200466200466,9.32400932400932,0,6.99300699300699,19.7160883280757,50.4731861198738,4.73186119873817,48.1072555205047,48.8958990536278,23.6593059936909,3.15457413249211,0.788643533123028,5.5205047318612,9.46372239747634,11.0410094637224,2.36593059936909,11.0410094637224,1.57728706624606,0.788643533123028,0.788643533123028,17.3501577287066,1.57728706624606,1.57728706624606,0.788643533123028,0,6.30914826498423,9.46372239747634,2.36593059936909,7.09779179810726,0,5.5205047318612
"16",2026-05-03,419,6,22,1,22,23,10,0,0,2,4,3,0,10,0,0,0,8,0,0,0,0,3,4,0,1,0,3,14.3198090692124,52.5059665871122,2.38663484486873,52.5059665871122,54.8926014319809,23.8663484486874,0,0,4.77326968973747,9.54653937947494,7.1599045346062,0,23.8663484486874,0,0,0,19.0930787589499,0,0,0,0,7.1599045346062,9.54653937947494,0,2.38663484486873,0,7.1599045346062,16.419077404222,53.1665363565285,3.90930414386239,53.1665363565285,53.948397185301,24.2376856919468,1.56372165754496,1.56372165754496,5.47302580140735,9.38232994526974,7.81860828772478,2.34558248631744,11.7279124315872,0.781860828772479,0,0.781860828772479,17.982799061767,0.781860828772479,2.34558248631744,0.781860828772479,0,4.69116497263487,7.81860828772478,1.56372165754496,9.38232994526974,0,7.03674745895231
"17",2026-05-10,431,6,24,2,27,27,15,1,1,2,2,2,1,2,0,0,0,7,0,1,0,0,0,1,0,7,0,3,13.9211136890951,55.6844547563805,4.64037122969838,62.6450116009281,62.6450116009281,34.8027842227378,2.32018561484919,2.32018561484919,4.64037122969838,4.64037122969838,4.64037122969838,2.32018561484919,4.64037122969838,0,0,0,16.2412993039443,0,2.32018561484919,0,0,0,2.32018561484919,0,16.2412993039443,0,6.96055684454756,16.6402535657686,56.2599049128368,5.54675118858954,64.1838351822504,64.9762282091918,31.6957210776545,1.58478605388273,1.58478605388273,5.54675118858954,7.13153724247227,8.71632329635499,1.58478605388273,12.6782884310618,1.58478605388273,0,1.58478605388273,15.0554675118859,0.792393026941363,3.16957210776545,0,0,3.16957210776545,4.75435816164818,0.792393026941363,9.50871632329635,1.58478605388273,7.13153724247227
"18",2026-05-17,412,9,25,4,32,32,15,1,1,3,3,6,1,4,2,0,2,4,1,3,0,0,1,1,1,4,2,3,21.8446601941748,60.6796116504854,9.70873786407767,77.6699029126214,77.6699029126214,36.4077669902913,2.42718446601942,2.42718446601942,7.28155339805825,7.28155339805825,14.5631067961165,2.42718446601942,9.70873786407767,4.85436893203883,0,4.85436893203883,9.70873786407767,2.42718446601942,7.28155339805825,0,0,2.42718446601942,2.42718446601942,2.42718446601942,9.70873786407767,4.85436893203883,7.28155339805825,17.6423416198877,59.3424218123496,5.61347233360064,70.5693664795509,70.5693664795509,32.0769847634322,3.20769847634322,1.60384923817161,6.41539695268645,5.61347233360064,8.01924619085806,2.40577385725742,4.81154771451484,2.40577385725742,0,3.20769847634322,14.4346431435445,1.60384923817161,4.00962309542903,0,0,1.60384923817161,3.20769847634322,1.60384923817161,9.62309542902967,1.60384923817161,4.81154771451484
"19",2026-05-24,404,7,25,1,29,29,10,2,0,3,2,2,1,0,1,0,2,7,1,1,0,0,1,2,1,1,0,0,17.3267326732673,61.8811881188119,2.47524752475248,71.7821782178218,71.7821782178218,24.7524752475248,4.95049504950495,0,7.42574257425743,4.95049504950495,4.95049504950495,2.47524752475248,0,2.47524752475248,0,4.95049504950495,17.3267326732673,2.47524752475248,2.47524752475248,0,0,2.47524752475248,4.95049504950495,2.47524752475248,2.47524752475248,0,0,13.9573070607553,63.2183908045977,5.74712643678161,71.4285714285714,71.4285714285714,27.0935960591133,3.28407224958949,0.821018062397373,5.74712643678161,5.74712643678161,9.0311986863711,2.46305418719212,5.74712643678161,3.28407224958949,0,4.10509031198686,9.85221674876847,1.64203612479475,3.28407224958949,0,0,2.46305418719212,4.10509031198686,2.46305418719212,4.10509031198686,1.64203612479475,2.46305418719212
"20",2026-05-31,402,1,27,2,26,26,8,1,0,1,2,3,1,3,1,0,1,1,0,0,0,0,1,2,1,0,0,0,2.48756218905473,67.1641791044776,4.97512437810945,64.6766169154229,64.6766169154229,19.9004975124378,2.48756218905473,0,2.48756218905473,4.97512437810945,7.46268656716418,2.48756218905473,7.46268656716418,2.48756218905473,0,2.48756218905473,2.48756218905473,0,0,0,0,2.48756218905473,4.97512437810945,2.48756218905473,0,0,0,7.383100902379,57.4241181296144,4.10172272354389,60.7054963084495,60.7054963084495,22.149302707137,2.46103363412633,0,4.92206726825267,4.10172272354389,4.92206726825267,2.46103363412633,2.46103363412633,1.64068908941756,0,2.46103363412633,9.02378999179655,0.820344544708778,1.64068908941756,0,0,2.46103363412633,4.10172272354389,2.46103363412633,0.820344544708778,0,0.820344544708778
"21",2026-06-07,413,1,18,2,19,19,9,0,0,2,1,1,1,0,0,0,0,3,0,1,0,0,1,1,1,0,0,1,2.42130750605327,43.5835351089588,4.84261501210654,46.0048426150121,46.0048426150121,21.7917675544794,0,0,4.84261501210654,2.42130750605327,2.42130750605327,2.42130750605327,0,0,0,0,7.26392251815981,0,2.42130750605327,0,0,2.42130750605327,2.42130750605327,2.42130750605327,0,0,2.42130750605327,5.63607085346216,60.3864734299517,5.63607085346216,66.0225442834139,66.0225442834139,24.1545893719807,4.83091787439614,0,6.44122383252818,3.22061191626409,4.02576489533011,1.61030595813205,2.41545893719807,0.805152979066023,0,1.61030595813205,7.2463768115942,0.805152979066023,1.61030595813205,0,0,1.61030595813205,3.22061191626409,1.61030595813205,3.22061191626409,0,3.22061191626409
"22",2026-06-14,427,5,30,3,37,37,13,5,0,5,1,1,0,0,0,0,1,5,1,1,0,0,0,1,0,4,0,3,11.7096018735363,70.2576112412178,7.02576112412178,86.6510538641686,86.6510538641686,30.4449648711944,11.7096018735363,0,11.7096018735363,2.34192037470726,2.34192037470726,0,0,0,0,2.34192037470726,11.7096018735363,2.34192037470726,2.34192037470726,0,0,0,2.34192037470726,0,9.36768149882904,0,7.02576112412178,8.59375,48.4375,4.6875,57.8125,57.8125,23.4375,4.6875,0,5.46875,2.34375,3.125,0.78125,0.78125,0.78125,0,0.78125,7.03125,0.78125,2.34375,0,0,0.78125,2.34375,0.78125,6.25,0,3.90625
"23",2026-06-21,440,5,14,1,18,18,8,1,0,0,1,2,0,1,1,0,0,1,0,1,0,0,0,1,0,4,0,1,11.3636363636364,31.8181818181818,2.27272727272727,40.9090909090909,40.9090909090909,18.1818181818182,2.27272727272727,0,0,2.27272727272727,4.54545454545455,0,2.27272727272727,2.27272727272727,0,0,2.27272727272727,0,2.27272727272727,0,0,0,2.27272727272727,0,9.09090909090909,0,2.27272727272727,8.51393188854489,52.6315789473684,3.09597523219814,63.4674922600619,63.4674922600619,23.2198142414861,4.64396284829721,0,6.19195046439629,1.54798761609907,2.32198142414861,0,2.32198142414861,0.773993808049536,0,0.773993808049536,6.19195046439629,0.773993808049536,1.54798761609907,0,0,0,1.54798761609907,0,6.19195046439629,0,3.86996904024768
"24",2026-06-28,425,1,24,0,27,27,9,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2.35294117647059,56.4705882352941,0,63.5294117647059,63.5294117647059,21.1764705882353,0,0,7.05882352941176,0,0,0,4.70588235294118,0,0,0,4.70588235294118,0,0,0,0,0,0,0,0,0,2.35294117647059,5.4137664346481,46.4037122969838,2.32018561484919,49.4972931167827,49.4972931167827,18.5614849187935,2.32018561484919,0,3.86697602474865,2.32018561484919,3.09358081979892,0.773395204949729,3.09358081979892,0.773395204949729,0,0.773395204949729,3.09358081979892,0.773395204949729,0.773395204949729,0,0,1.54679040989946,2.32018561484919,0.773395204949729,3.86697602474865,0,1.54679040989946
"25",2026-07-05,428,1,22,2,19,19,7,2,0,2,2,2,1,1,0,0,1,1,1,0,0,0,2,2,1,1,0,0,2.33644859813084,51.4018691588785,4.67289719626168,44.392523364486,44.392523364486,16.3551401869159,4.67289719626168,0,4.67289719626168,4.67289719626168,4.67289719626168,2.33644859813084,2.33644859813084,0,0,2.33644859813084,2.33644859813084,2.33644859813084,0,0,0,4.67289719626168,4.67289719626168,2.33644859813084,2.33644859813084,0,0,3.10800310800311,53.6130536130536,2.33100233100233,55.1670551670552,55.1670551670552,19.4250194250194,2.33100233100233,0,3.88500388500389,2.33100233100233,5.43900543900544,0.777000777000777,4.66200466200466,0.777000777000777,0,0.777000777000777,3.10800310800311,0.777000777000777,0.777000777000777,0,0,2.33100233100233,1.55400155400155,0.777000777000777,2.33100233100233,0,1.55400155400155
"26",2026-07-12,434,2,23,1,25,25,9,1,0,0,1,5,0,3,1,0,0,1,0,1,0,0,1,0,0,2,0,1,4.60829493087558,52.9953917050691,2.30414746543779,57.6036866359447,57.6036866359447,20.7373271889401,2.30414746543779,0,0,2.30414746543779,11.5207373271889,0,6.91244239631336,2.30414746543779,0,0,2.30414746543779,0,2.30414746543779,0,0,2.30414746543779,0,0,4.60829493087558,0,2.30414746543779,7.75193798449612,53.4883720930233,4.65116279069767,55.8139534883721,55.8139534883721,17.8294573643411,2.32558139534884,0,4.65116279069767,4.65116279069767,7.75193798449612,3.10077519379845,3.10077519379845,1.55038759689922,0,2.32558139534884,3.10077519379845,2.32558139534884,0.775193798449612,0,0,4.65116279069767,3.87596899224806,3.10077519379845,5.42635658914729,0,0.775193798449612
"27",2026-07-19,428,7,24,3,28,28,7,0,0,4,3,3,3,0,1,0,2,2,2,0,0,0,3,3,3,4,0,0,16.3551401869159,56.0747663551402,7.00934579439252,65.4205607476636,65.4205607476636,16.3551401869159,0,0,9.34579439252336,7.00934579439252,7.00934579439252,7.00934579439252,0,2.33644859813084,0,4.67289719626168,4.67289719626168,4.67289719626168,0,0,0,7.00934579439252,7.00934579439252,7.00934579439252,9.34579439252336,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
